N,P,K,temperature,humidity,ph,rainfall,crop
17,75,18,23.7877,42.7136,5.8393,177.2192,pigeonpeas
20,66,21,27.8282,43.7267,4.7356,140.5925,pigeonpeas
27,77,16,31.4859,55.1204,6.0291,150.4705,pigeonpeas
22,59,19,28.4396,56.618,5.3101,120.7086,pigeonpeas
18,61,21,25.6805,46.5713,5.2233,192.3931,pigeonpeas
23,63,19,28.8677,48.276,4.9563,197.4322,pigeonpeas
15,64,20,26.1227,42.5723,4.9031,153.9173,pigeonpeas
24,60,18,25.4162,55.0365,5.1223,175.5883,pigeonpeas
23,78,15,24.0369,51.9925,5.4455,154.3822,pigeonpeas
19,66,21,22.2445,59.6473,6.7766,116.5819,pigeonpeas
17,71,25,26.3302,42.7301,5.5371,139.7044,pigeonpeas
17,63,20,27.9742,45.732,5.8889,153.2982,pigeonpeas
24,53,21,27.2101,49.3887,6.0002,138.6363,pigeonpeas
27,70,22,26.2521,51.8789,5.8655,144.5337,pigeonpeas
18,53,16,24.6628,46.706,5.7613,147.715,pigeonpeas
23,67,25,29.3247,42.7622,5.2024,147.978,pigeonpeas
11,57,21,23.5486,53.2884,6.5255,151.3065,pigeonpeas
18,84,25,29.8281,52.3268,6.7036,123.4849,pigeonpeas
21,75,18,24.4933,42.5024,4.9587,132.0746,pigeonpeas
16,69,25,25.2427,56.1327,5.288,117.8854,pigeonpeas
16,78,22,23.0996,55.0212,5.6601,174.4454,pigeonpeas
18,61,22,25.9958,48.8058,5.3177,97.3588,pigeonpeas
22,72,21,30.4259,48.4776,6.053,178.8398,pigeonpeas
20,70,19,29.0469,51.3243,5.4359,184.6587,pigeonpeas
10,70,24,30.4353,42.8298,6.8825,142.4455,pigeonpeas
10,78,20,29.0664,48.1802,6.3953,84.9216,pigeonpeas
18,74,14,24.189,35.0857,5.9063,140.9672,pigeonpeas
23,70,17,26.5076,53.2587,6.3135,148.3954,pigeonpeas
7,55,19,25.1594,38.631,6.353,124.735,pigeonpeas
19,60,21,31.4917,57.0205,5.518,137.1195,pigeonpeas
18,67,20,23.9096,46.0193,5.3919,188.2549,pigeonpeas
28,69,24,30.1811,46.73,5.8391,166.6232,pigeonpeas
19,59,14,30.1789,44.2336,6.2308,126.8859,pigeonpeas
23,87,20,32.9889,46.2718,5.8695,110.06,pigeonpeas
22,80,15,26.2709,56.5112,5.0115,141.8246,pigeonpeas
10,73,22,29.637,33.0731,5.3986,144.6636,pigeonpeas
25,69,20,34.345,55.6618,5.763,162.405,pigeonpeas
22,66,21,25.6471,50.0281,5.7622,136.6171,pigeonpeas
24,60,17,22.8949,40.7579,6.7863,162.7875,pigeonpeas
41,69,24,21.86,41.5481,5.107,198.3789,pigeonpeas
11,70,23,29.6381,58.0584,6.0528,170.3875,pigeonpeas
30,58,22,21.8505,42.327,6.5446,148.7978,pigeonpeas
20,71,20,26.383,41.0799,6.9357,145.4212,pigeonpeas
22,67,22,28.8119,54.8239,5.5978,141.0832,pigeonpeas
27,41,24,24.5286,49.1072,6.2819,35.9978,mothbeans
18,42,26,23.9993,52.0896,6.7813,43.2116,mothbeans
21,64,16,24.9568,64.6835,6.8108,64.5107,mothbeans
21,48,17,28.3987,46.4021,7.0836,59.8619,mothbeans
18,54,19,25.768,64.3035,5.9799,50.3736,mothbeans
14,42,21,29.284,50.7458,7.1555,53.4312,mothbeans
23,42,18,28.0868,62.278,5.1774,48.0576,mothbeans
21,57,25,23.0787,43.1523,6.4221,64.5658,mothbeans
24,37,22,29.6374,57.1013,6.507,48.9965,mothbeans
18,45,20,30.027,47.8426,7.18,53.3184,mothbeans
27,48,14,25.5153,43.0931,6.8136,62.4603,mothbeans
17,49,15,29.0505,54.5297,5.9567,43.2263,mothbeans
30,47,21,25.8588,60.0663,6.209,66.5879,mothbeans
12,51,11,28.2442,47.0854,6.9192,35.6954,mothbeans
23,54,24,24.8388,42.5069,6.7526,67.2964,mothbeans
23,54,19,23.5172,52.3571,6.4525,47.2732,mothbeans
17,40,33,27.043,52.388,6.5115,48.573,mothbeans
23,46,29,27.6907,56.8382,7.2177,32.0999,mothbeans
27,58,19,27.0058,59.6472,6.4894,46.4521,mothbeans
10,55,20,25.0399,52.5841,6.7471,40.6019,mothbeans
24,37,24,27.0003,65.9885,8.102,44.9235,mothbeans
9,51,27,28.6732,54.5696,5.9458,49.6269,mothbeans
16,32,13,27.8878,50.575,5.6889,60.5779,mothbeans
29,48,13,28.4563,41.719,7.2702,53.076,mothbeans
18,63,18,26.3247,51.1614,6.3928,54.0768,mothbeans
15,40,22,30.9293,50.6453,6.6091,40.0448,mothbeans
20,41,22,25.0596,59.7221,6.3313,42.1925,mothbeans
31,54,24,29.2189,56.2374,6.6441,68.9873,mothbeans
12,36,15,30.9547,44.7444,7.7591,43.648,mothbeans
16,43,11,29.2023,54.2058,7.2813,67.5621,mothbeans
28,53,23,27.4937,57.7007,7.3173,48.5694,mothbeans
30,43,17,26.6793,63.6962,5.9503,51.0229,mothbeans
20,46,12,30.5902,59.2125,6.1093,61.7037,mothbeans
15,54,21,24.4426,58.3259,5.0966,63.7189,mothbeans
31,51,23,25.5747,53.4206,6.3144,49.8919,mothbeans
29,50,20,27.0061,55.7182,7.374,47.1176,mothbeans
24,45,18,31.0941,61.7465,7.1102,50.4408,mothbeans
17,51,19,28.9494,43.6706,6.6671,54.3796,mothbeans
21,47,19,25.5799,50.5539,6.7866,59.913,mothbeans
20,52,15,27.2242,47.592,6.3867,51.0423,mothbeans
23,44,17,26.4642,55.6541,6.9229,57.1889,mothbeans
28,47,22,26.2255,61.6116,7.2595,67.3836,mothbeans
25,40,21,30.4472,48.8212,5.8305,54.8131,mothbeans
16,48,21,24.5706,36.2679,6.9798,54.1165,mothbeans
28,42,16,32.022,50.1145,7.3595,35.8109,mothbeans
23,39,19,30.0706,59.3943,6.5509,24.6927,mothbeans
24,50,11,30.7272,56.7634,7.2204,54.8838,mothbeans
28,50,21,26.8427,55.9973,8.4888,50.0518,mothbeans
15,54,26,27.6251,51.04,6.7374,45.8522,mothbeans
21,45,14,24.4171,44.0468,7.036,53.4353,mothbeans
18,51,18,26.6883,56.6071,6.3572,50.396,mothbeans
13,52,21,29.2341,47.16,6.9088,62.2778,mothbeans
23,52,25,31.2402,68.2887,7.0762,51.8611,mothbeans
34,41,18,25.2321,56.9936,6.9169,43.5308,mothbeans
12,49,17,27.0862,48.9355,6.1882,60.9017,mothbeans
21,51,12,27.6218,48.7203,6.9238,48.8287,mothbeans
24,48,20,24.5105,52.3494,7.6773,56.2654,mothbeans
22,31,28,29.4784,51.3235,7.0692,46.2259,mothbeans
20,49,21,26.19,60.8178,7.3772,44.5017,mothbeans
15,66,20,27.5115,54.3049,6.6578,51.8417,mothbeans
22,45,21,26.8701,47.8786,7.2499,51.1283,mothbeans
17,42,20,26.0267,66.2331,6.9676,55.7983,mothbeans
10,51,17,27.9824,53.3452,6.2295,48.3135,mothbeans
27,50,23,27.461,58.3819,6.9911,32.6364,mothbeans
26,58,21,27.0704,48.7424,6.205,46.6723,mothbeans
21,38,20,26.1788,55.5418,6.4203,58.9382,mothbeans
22,54,16,28.7988,55.1778,6.9136,48.0262,mothbeans
26,53,25,32.134,39.7725,6.9783,48.5362,mothbeans
22,47,23,28.3497,67.1069,6.0865,60.8638,mothbeans
26,51,18,30.4903,62.0345,7.4324,43.8803,mothbeans
20,56,24,24.5244,50.2196,7.1432,35.572,mothbeans
28,55,18,28.3944,45.2841,6.3772,49.3937,mothbeans
23,39,17,25.2566,55.4329,5.8774,46.1583,mothbeans
22,55,17,24.3077,53.6069,6.7131,41.3375,mothbeans
15,47,13,26.1516,55.4897,6.5324,49.2462,mothbeans
22,49,22,30.9797,54.341,6.8679,55.9151,mothbeans
17,49,13,30.375,56.5437,6.5821,50.9071,mothbeans
18,47,15,28.6075,63.1311,5.5955,54.0698,mothbeans
17,58,12,24.1682,56.9767,6.567,69.1341,mothbeans
16,47,20,27.5093,45.6524,6.6166,47.5712,mothbeans
32,39,19,28.7543,62.5379,7.1802,53.7835,mothbeans
28,45,19,28.4388,64.4843,6.3811,45.9079,mothbeans
31,49,16,23.3905,75.0644,7.8072,42.5364,mothbeans
15,58,15,25.7742,45.1355,5.653,45.1509,mothbeans
21,53,22,27.8398,54.7002,7.5867,46.2124,mothbeans
15,41,18,29.3407,38.4253,6.6654,54.5948,mothbeans
18,68,21,22.5097,56.872,7.3158,74.4908,mothbeans
16,50,16,27.5947,49.1626,6.8479,43.8396,mothbeans
27,58,21,28.3576,66.4641,7.4837,46.8337,mothbeans
19,47,25,30.124,47.5777,6.5676,50.3688,mothbeans
26,52,22,29.7321,41.1757,6.1408,54.958,mothbeans
24,55,18,29.4564,49.7012,7.6523,53.6355,mothbeans
33,58,21,26.0001,39.1716,6.7319,63.841,mothbeans
14,56,19,23.23,58.2577,6.9329,26.7361,mothbeans
27,55,20,27.0174,38.5444,7.5409,27.1307,mothbeans
27,45,19,30.5041,53.1992,6.1808,46.0412,mothbeans
16,43,19,31.4836,38.4553,7.1573,61.973,mothbeans
26,51,21,29.7764,50.7579,6.4461,35.3435,mothbeans
23,55,16,29.0734,64.5036,6.7207,20.9237,mothbeans
20,46,16,28.9491,55.5245,6.8434,56.7118,mothbeans
22,45,21,26.5824,84.6362,6.3029,52.0562,mungbean
17,40,23,25.795,89.2499,6.1219,47.5408,mungbean
17,42,17,25.3328,92.0403,6.9665,36.8364,mungbean
17,52,21,29.326,90.7468,6.9312,42.3367,mungbean
21,40,20,28.0719,81.1314,6.9309,45.898,mungbean
18,38,23,29.2588,84.4853,6.6485,35.2328,mungbean
23,44,20,29.8809,84.1193,7.2628,42.0878,mungbean
10,52,19,29.0312,87.457,6.5064,53.2186,mungbean
18,47,22,29.8155,88.2454,7.0821,59.4184,mungbean
16,45,23,28.3609,82.1444,6.6845,44.6445,mungbean
20,48,18,26.126,85.7714,6.4567,54.0519,mungbean
19,38,20,30.6156,77.4203,6.937,32.6875,mungbean
24,51,17,27.3218,91.2678,6.8639,53.2756,mungbean
14,50,13,26.6288,83.4505,6.8428,41.5684,mungbean
21,46,21,28.1442,85.7235,6.7325,50.4588,mungbean
23,54,22,26.6744,84.2614,6.6848,46.018,mungbean
28,41,21,27.6651,90.0841,7.6553,58.5633,mungbean
19,55,14,29.1881,74.15,7.1737,41.0045,mungbean
22,49,19,29.1967,85.4336,6.9891,53.0209,mungbean
14,46,13,26.7043,85.0767,6.7447,45.7639,mungbean
11,48,24,27.5246,83.6855,7.1029,46.7336,mungbean
24,47,17,30.6487,92.4049,6.9072,46.5292,mungbean
21,55,24,29.4928,81.9507,6.7105,41.2346,mungbean
26,42,23,32.6501,88.5872,6.5786,47.8872,mungbean
16,43,17,30.8603,86.925,6.6676,47.4988,mungbean
23,54,17,30.7886,90.5461,5.4318,49.9299,mungbean
28,44,21,25.7243,82.8312,6.7842,48.676,mungbean
23,53,17,30.0277,82.5681,6.5046,54.384,mungbean
22,58,20,28.3938,89.8843,7.3371,55.3881,mungbean
21,46,19,27.398,87.2013,6.7077,39.595,mungbean
15,52,15,28.836,79.3203,6.2244,54.9502,mungbean
26,41,13,30.3904,83.3428,6.68,38.5093,mungbean
19,53,21,29.5017,87.0455,6.2816,52.7028,mungbean
23,49,18,26.7431,88.8511,6.8894,52.9579,mungbean
15,51,18,29.9849,82.7831,6.8164,32.7095,mungbean
16,44,22,27.2248,73.843,7.0831,48.7438,mungbean
27,38,24,28.9334,87.5929,6.3836,44.252,mungbean
20,51,19,27.8933,80.6187,6.7136,41.9299,mungbean
27,36,19,28.0623,77.4306,6.154,58.8068,mungbean
21,46,22,30.0325,74.1707,6.9806,42.7706,mungbean
14,54,16,26.4196,88.7559,6.9075,41.549,mungbean
25,49,21,32.3904,86.0145,6.8983,48.6056,mungbean
19,60,22,24.8578,84.5974,6.7006,53.4847,mungbean
24,54,22,27.3047,91.0561,6.8659,46.8668,mungbean
21,44,14,29.2404,88.0493,7.3417,57.331,mungbean
15,48,18,29.6686,91.9652,6.586,52.2478,mungbean
22,48,17,28.299,79.9291,6.7555,30.5743,mungbean
30,39,20,28.3852,85.3618,6.2655,43.7643,mungbean
23,42,21,29.3211,79.0331,6.3527,43.5053,mungbean
21,45,24,28.0379,84.5825,6.7391,51.8349,mungbean
25,36,19,31.2864,84.5055,7.1416,27.0015,mungbean
22,48,19,30.1787,88.0065,6.5975,68.3921,mungbean
22,47,23,30.2456,85.6823,6.6056,52.2482,mungbean
17,38,21,26.5677,87.9936,6.5372,49.191,mungbean
22,50,24,28.3412,88.3138,6.4861,57.4525,mungbean
25,52,21,27.8991,94.1197,6.818,66.7492,mungbean
18,49,17,26.4888,84.2388,6.1011,54.966,mungbean
27,46,16,29.2203,81.7359,7.2124,55.5905,mungbean
21,52,15,27.4247,86.4843,6.4338,49.0455,mungbean
17,52,22,29.8108,82.2909,6.9888,46.8678,mungbean
25,50,24,26.3596,91.4278,6.192,44.1936,mungbean
20,43,26,31.9381,84.3671,6.9675,41.3911,mungbean
24,50,23,26.7073,83.2377,6.9688,42.5039,mungbean
20,55,23,28.9386,83.6147,6.8537,37.1956,mungbean
21,44,18,30.0837,88.3737,6.3022,47.393,mungbean
23,61,17,27.3587,84.869,6.7998,34.5227,mungbean
22,45,23,30.2049,82.9333,6.2268,49.5273,mungbean
13,48,21,26.0416,92.1614,6.5989,47.7094,mungbean
17,44,20,31.4042,82.0753,7.1118,49.1755,mungbean
25,49,21,28.5283,85.6423,7.0187,43.8229,mungbean
20,38,21,27.3072,88.1092,6.7061,72.6149,mungbean
19,45,24,27.9016,78.9747,6.3101,58.8809,mungbean
16,41,24,30.1178,87.421,6.9582,38.0437,mungbean
17,49,22,27.3311,81.2796,6.7078,49.8629,mungbean
13,54,23,27.0013,88.7911,5.7719,43.136,mungbean
21,52,22,28.0569,81.6494,7.0131,39.8842,mungbean
19,34,19,26.1461,88.2711,6.6903,37.2794,mungbean
17,60,22,32.1411,89.9233,7.181,51.4577,mungbean
21,50,16,27.3672,88.9457,6.2619,42.549,mungbean
22,43,23,30.1632,86.5053,5.4293,55.7426,mungbean
29,49,16,28.9189,84.5748,6.8116,55.9503,mungbean
15,49,21,26.5309,83.1943,6.8166,58.9913,mungbean
26,44,17,28.4881,91.3841,6.0237,41.1809,mungbean
25,49,22,30.068,82.702,6.3086,51.8029,mungbean
18,44,20,28.1235,81.3517,7.8021,53.0596,mungbean
22,46,15,30.8862,88.1615,6.5778,44.2066,mungbean
19,44,21,30.543,82.3155,6.9924,41.8258,mungbean
22,39,18,30.3378,81.6997,6.4397,60.8762,mungbean
27,49,23,27.5807,79.7256,5.8639,49.82,mungbean
23,52,20,26.3403,83.5684,6.6319,53.0877,mungbean
23,51,21,27.2728,85.1691,6.5938,41.4234,mungbean
19,53,17,28.8925,86.4724,6.54,38.2457,mungbean
15,50,18,29.5916,89.3052,6.6541,43.4444,mungbean
20,45,19,24.1569,87.6076,6.8057,47.0078,mungbean
26,53,23,28.4838,84.7365,6.64,39.4862,mungbean
15,40,25,28.8162,84.7072,6.1944,47.9212,mungbean
17,43,18,27.9449,87.5406,6.8945,34.492,mungbean
22,42,23,31.0825,90.5903,5.9203,39.0396,mungbean
17,54,13,29.3436,86.0053,5.8799,53.3673,mungbean
18,54,16,31.1204,83.6235,6.9957,52.8303,mungbean
37,64,22,29.1731,63.9567,6.7437,73.6251,blackgram
33,63,21,28.7246,63.4367,6.9808,72.2657,blackgram
33,53,20,30.3736,69.2895,7.2603,69.3232,blackgram
37,64,19,31.9269,67.7678,7.1273,56.9439,blackgram
45,73,20,35.9543,63.7135,6.8445,64.1311,blackgram
46,57,20,32.0681,70.4106,7.1019,74.7342,blackgram
37,75,16,32.8996,64.3548,6.6405,59.5902,blackgram
32,71,19,28.7351,60.7417,7.4451,47.7458,blackgram
42,61,16,27.4353,61.2051,7.0384,66.1832,blackgram
34,66,19,30.1558,60.1063,7.4356,66.8659,blackgram
36,80,18,30.2679,63.6379,6.942,69.0845,blackgram
49,73,27,27.3037,71.1686,6.9429,73.8281,blackgram
46,67,19,29.5618,60.9745,6.8707,73.1008,blackgram
41,65,15,30.9983,65.9424,7.3629,70.0702,blackgram
31,68,19,30.901,61.7166,6.8872,77.5643,blackgram
41,63,21,31.2607,63.6985,7.2934,55.8482,blackgram
47,50,24,30.7274,57.4498,6.9853,72.0367,blackgram
37,83,17,28.7325,63.8973,6.5072,73.0123,blackgram
49,68,14,28.7152,64.0315,6.9289,58.0835,blackgram
49,70,21,27.0026,67.7014,6.7463,55.977,blackgram
52,67,15,34.4619,66.1164,7.1102,62.0325,blackgram
42,61,18,30.0336,59.008,6.7429,62.7077,blackgram
44,66,18,29.4379,70.421,7.3778,74.0274,blackgram
50,54,19,27.678,66.0515,7.0727,63.0837,blackgram
43,85,21,37.3391,65.992,7.0467,61.1492,blackgram
36,57,17,27.3167,64.9541,7.2968,63.1069,blackgram
37,59,18,28.9279,62.4112,7.3892,76.9491,blackgram
42,63,19,31.0396,66.089,7.094,68.1043,blackgram
31,77,19,31.5005,67.3779,6.8686,66.566,blackgram
39,67,19,32.3948,56.2655,6.5678,67.12,blackgram
48,57,20,34.519,62.3062,6.8942,78.3365,blackgram
25,77,22,31.2654,63.7253,6.9148,62.0066,blackgram
51,73,20,27.3599,66.2809,7.1321,78.5241,blackgram
48,71,20,29.3576,70.9666,6.9965,69.684,blackgram
37,73,14,30.7696,61.1413,7.3064,66.7166,blackgram
44,86,19,35.1706,62.5102,6.9161,88.0072,blackgram
40,84,20,26.5055,62.4373,7.0829,59.5549,blackgram
49,62,21,33.0064,60.9924,7.4552,65.1705,blackgram
47,80,17,30.4498,63.2641,7.2025,58.1406,blackgram
30,70,17,32.0946,68.854,7.082,75.6197,blackgram
44,71,17,29.745,59.7308,6.9194,81.5135,blackgram
39,53,21,27.8939,67.1391,6.91,81.3594,blackgram
41,66,22,31.8772,56.4905,6.8448,77.7916,blackgram
35,60,18,31.6361,62.1933,6.9377,66.419,blackgram
52,74,22,32.4301,63.3526,7.3267,65.0781,blackgram
47,76,19,29.9667,73.3743,7.0334,54.6306,blackgram
35,50,19,28.5004,63.626,6.6951,84.287,blackgram
31,67,18,26.103,53.9938,7.6305,71.7518,blackgram
37,76,21,32.0484,55.0056,7.196,64.0643,blackgram
43,66,20,31.0597,65.1701,6.6779,78.6245,blackgram
42,73,26,27.5855,68.0689,6.9674,60.2179,blackgram
49,70,16,28.6536,66.8773,7.1333,71.253,blackgram
46,70,21,28.8331,65.8379,7.6114,66.619,blackgram
47,65,17,26.2925,70.8113,6.7676,73.1094,blackgram
42,57,16,27.9558,62.302,7.3928,67.4914,blackgram
30,58,19,27.1654,69.4746,7.5198,56.3926,blackgram
39,73,19,28.9688,56.8399,6.9114,68.6046,blackgram
47,67,28,28.1533,60.4753,7.0167,76.3909,blackgram
40,66,18,25.9325,55.9648,6.7891,67.7663,blackgram
44,64,16,35.0565,63.6258,7.039,74.2009,blackgram
38,65,20,33.1314,64.7687,7.089,59.6358,blackgram
33,75,13,28.0525,65.5705,7.2979,67.7899,blackgram
39,64,19,30.6811,65.3094,7.4271,63.0039,blackgram
42,56,19,31.0437,60.3622,6.8756,73.9758,blackgram
35,73,21,32.9777,64.0488,6.5098,68.2519,blackgram
38,65,22,27.9535,57.5128,7.0936,73.5206,blackgram
33,67,17,32.7303,71.8161,7.1881,76.7017,blackgram
48,80,19,28.6302,63.4819,7.1748,73.5329,blackgram
38,67,17,26.6603,62.5556,7.002,70.1849,blackgram
50,69,16,31.8103,72.9447,7.1374,60.0143,blackgram
51,58,20,33.2269,58.7888,7.5546,67.9777,blackgram
39,65,15,36.4698,59.3721,7.2145,63.7353,blackgram
33,72,18,27.0007,59.5189,6.988,65.2475,blackgram
25,55,16,31.7473,64.6606,6.9499,65.0037,blackgram
30,69,21,28.9755,67.1582,7.049,60.1606,blackgram
30,68,24,31.9584,68.6984,7.591,52.3413,blackgram
50,67,15,26.3238,77.86,7.045,62.6549,blackgram
41,75,13,26.8431,53.7528,7.0941,69.547,blackgram
43,70,19,28.0603,68.0437,6.9553,57.2146,blackgram
24,79,19,30.1974,62.2143,7.4297,68.1255,blackgram
32,59,20,28.3973,62.0679,7.688,83.2021,blackgram
46,68,18,31.6476,61.9011,7.2352,76.1845,blackgram
42,68,18,32.5672,60.4562,7.1248,81.1483,blackgram
39,58,20,31.4989,73.4226,7.111,71.129,blackgram
44,75,22,34.047,69.2115,6.3847,77.3401,blackgram
51,86,13,31.0396,65.116,7.3235,62.2083,blackgram
38,67,18,26.9578,71.7551,7.1402,62.8453,blackgram
40,71,20,33.4084,57.4374,7.2285,46.0869,blackgram
41,68,16,28.4871,58.3465,6.8866,77.4892,blackgram
57,61,24,32.276,54.1102,6.9847,80.3226,blackgram
25,52,17,33.9343,61.5029,6.9767,63.5746,blackgram
45,61,19,31.1417,65.8085,7.4065,65.9684,blackgram
39,56,21,26.2596,65.5143,6.9864,61.9691,blackgram
44,81,17,27.7045,65.7467,7.7248,71.0612,blackgram
35,66,13,33.3069,57.9447,7.2293,76.9995,blackgram
40,64,18,29.5772,69.0158,6.7173,54.0578,blackgram
45,74,22,30.1989,66.1981,7.0614,71.2755,blackgram
62,58,18,31.8971,68.6653,6.9045,65.7866,blackgram
46,61,16,31.7408,55.5362,6.4417,68.9072,blackgram
34,68,22,30.697,66.5575,7.5798,71.672,blackgram
18,68,20,22.7893,56.7014,6.6061,41.6342,lentil
19,67,18,15.4332,60.0835,7.0153,37.82,lentil
18,68,18,22.5441,57.9056,6.3333,61.5434,lentil
23,64,24,26.1804,60.664,7.075,58.5722,lentil
21,66,23,20.3188,63.0009,6.4523,37.3655,lentil
20,55,19,21.8361,70.3601,7.4314,56.5748,lentil
14,74,12,22.4716,62.2519,8.0689,42.7037,lentil
17,70,18,14.3015,53.4006,6.4696,46.4043,lentil
23,63,27,28.014,72.4805,7.1671,45.0571,lentil
19,79,18,20.2959,58.6404,6.5366,40.8818,lentil
22,69,22,24.5172,64.089,7.4205,52.387,lentil
26,62,23,22.7399,67.6258,6.2674,46.3812,lentil
23,73,20,26.7729,65.8973,7.1403,42.1641,lentil
19,70,16,24.2182,72.1593,6.4635,36.3679,lentil
17,70,12,22.2952,67.853,6.7965,39.2448,lentil
9,65,21,20.3195,58.4708,6.3845,34.0103,lentil
18,71,17,25.3936,79.7499,7.3112,45.5856,lentil
18,66,20,17.3797,65.8603,6.4815,37.1233,lentil
21,71,15,24.9377,63.4686,7.176,43.6411,lentil
18,57,18,19.7029,71.2475,6.728,55.0907,lentil
18,65,19,26.7569,66.2462,6.8428,53.8951,lentil
12,78,20,23.4839,67.2946,6.9739,45.2741,lentil
15,63,16,24.9324,81.9453,6.5191,44.8904,lentil
21,64,23,23.246,62.5742,7.0052,58.6591,lentil
26,65,17,17.7429,62.2757,7.6652,49.1453,lentil
19,61,14,20.4178,65.316,6.511,43.2054,lentil
20,55,19,25.0172,72.0006,7.4859,35.5179,lentil
23,67,19,23.5,53.9543,7.649,48.2571,lentil
16,69,19,26.543,50.7411,6.4919,51.3053,lentil
20,68,23,24.2098,60.3902,6.1725,41.0784,lentil
16,67,18,20.0999,53.0625,7.051,47.5384,lentil
22,68,19,20.6118,61.5262,6.6263,42.955,lentil
20,74,16,23.3088,68.0175,7.8343,44.2118,lentil
20,67,21,16.0579,58.2648,6.9174,28.0852,lentil
16,65,20,28.0203,54.5122,6.4989,43.9475,lentil
22,66,18,24.3252,64.9854,6.3264,52.2856,lentil
27,71,13,26.6811,70.5378,7.445,41.0802,lentil
15,76,23,18.2582,52.6352,6.6144,45.8677,lentil
18,64,15,26.7337,70.2416,6.9219,40.2083,lentil
20,69,17,29.6945,70.2211,7.3779,48.0231,lentil
22,70,20,19.0374,71.1786,6.6579,43.9843,lentil
17,62,15,25.3142,73.0294,6.877,38.9253,lentil
8,68,15,23.0033,79.9141,6.8917,54.8279,lentil
24,59,13,18.3667,62.0074,7.2417,52.0025,lentil
22,57,21,24.4787,65.267,7.1954,41.2657,lentil
12,70,17,25.5008,61.5849,6.7899,48.9845,lentil
17,66,28,21.1966,64.5138,6.9318,49.2619,lentil
25,69,16,26.4977,75.2301,6.7141,49.9961,lentil
25,68,16,17.9997,55.0849,6.1612,33.6402,lentil
23,62,17,18.5157,58.4727,7.0288,52.5462,lentil
18,68,20,23.4098,74.1403,7.8461,41.5121,lentil
19,61,18,23.0762,71.6403,6.4581,42.9952,lentil
18,76,21,20.8503,61.9581,6.5135,63.9652,lentil
24,60,16,25.4288,70.4808,6.4646,47.6131,lentil
15,67,15,24.5927,66.8885,7.2623,42.7957,lentil
16,62,14,25.5744,75.0019,7.1242,30.0629,lentil
23,71,12,22.6306,65.0216,6.8207,55.2283,lentil
19,66,17,24.8077,71.6794,6.441,36.0835,lentil
25,65,18,21.663,82.9941,6.9462,38.4759,lentil
16,73,17,29.1615,68.6867,6.1177,43.1805,lentil
19,68,23,20.5624,64.8453,6.9717,55.4149,lentil
15,71,23,29.3159,69.5571,7.3358,50.9127,lentil
19,62,18,23.1047,61.943,6.2744,44.3951,lentil
13,60,14,18.8735,81.2158,6.1337,47.658,lentil
17,69,17,27.1042,65.7605,7.6897,41.2973,lentil
13,66,17,23.3777,62.5895,6.5941,46.4776,lentil
22,72,17,25.5534,58.6502,7.468,46.0134,lentil
22,68,17,26.6716,72.1805,6.823,52.2814,lentil
12,69,17,24.0139,70.5703,6.819,52.2702,lentil
24,58,18,21.2233,61.0185,7.1192,48.9578,lentil
29,79,17,25.9271,68.5352,6.458,42.9636,lentil
19,67,20,23.0023,53.9401,6.9662,50.6928,lentil
16,72,20,25.0576,65.7948,6.7093,44.8562,lentil
30,63,16,16.5388,67.6693,6.2398,37.9266,lentil
14,70,23,24.3409,76.4513,7.0687,42.677,lentil
19,60,16,21.0842,59.1043,6.7683,46.0917,lentil
20,71,14,27.9599,55.5515,6.8215,51.8715,lentil
24,66,20,24.8693,58.232,6.2949,44.2153,lentil
20,68,17,23.7196,55.144,7.6957,37.0356,lentil
17,72,20,24.4589,73.8566,7.3384,45.8972,lentil
15,61,12,20.0047,75.3405,7.3821,46.2942,lentil
18,64,23,27.8698,66.7415,6.7473,46.8009,lentil
15,71,21,28.9741,73.0491,6.0354,51.9391,lentil
19,81,14,24.1787,65.4377,7.8765,52.6325,lentil
17,67,15,27.7712,63.8342,6.8695,41.3405,lentil
13,72,24,21.2926,62.1687,6.5256,41.187,lentil
24,67,17,20.6087,62.3273,7.1084,38.2186,lentil
17,80,16,23.1228,53.6654,7.4836,50.3917,lentil
14,58,12,24.3048,66.3498,6.8885,55.6417,lentil
18,69,18,21.818,64.2177,7.5393,43.2944,lentil
19,58,18,24.6133,69.7175,7.4415,43.81,lentil
12,53,21,23.9192,65.1547,6.3618,55.7675,lentil
20,70,15,20.0051,63.3611,6.5631,49.0389,lentil
15,69,14,24.5564,58.4016,7.3788,48.5536,lentil
26,66,20,25.5906,65.0051,5.5437,37.1636,lentil
21,67,22,23.5144,69.6677,6.8253,50.2511,lentil
17,87,14,26.4579,56.4966,6.1846,38.996,lentil
16,66,22,19.3478,65.1123,6.6617,37.5619,lentil
19,71,19,24.4039,66.1313,6.7506,43.0726,lentil
21,64,22,19.4892,59.4735,6.7209,41.3995,lentil
18,20,46,18.1316,94.7644,5.9255,115.0745,pomegranate
12,16,34,22.1753,89.4126,5.9465,107.94,pomegranate
24,18,42,24.7379,81.1209,5.2248,110.8795,pomegranate
25,21,33,23.2652,84.4013,7.2364,103.7705,pomegranate
9,21,45,21.821,89.0025,5.968,104.5624,pomegranate
24,24,39,16.895,85.3478,6.3367,109.8005,pomegranate
15,19,46,19.5708,88.3463,5.9448,98.1876,pomegranate
23,20,42,22.5634,90.1296,6.7476,104.6361,pomegranate
